ds,yhat,yhat_lower,yhat_upper
2018-08-01 12:00:00,14377.514886486519,10792.70090902926,18209.385907343683
2018-08-01 13:00:00,14442.635974175077,10494.425757249623,18601.94866591015
2018-08-01 14:00:00,14507.757063105819,10585.527213072317,18316.069963337544
2018-08-01 15:00:00,14572.878153587195,10846.570511089654,18423.34919813607
2018-08-01 16:00:00,14637.999243433707,10886.234199506607,18678.290100359915
2018-08-01 17:00:00,14703.120331459804,11025.620005592174,18414.663935031338
2018-08-01 18:00:00,14768.241418772654,11070.404316803864,18542.121678540072
2018-08-01 19:00:00,14833.36250674965,10477.250385322735,18742.03022442093
2018-08-01 20:00:00,14898.483594726644,11099.43347642825,18695.179414595932
2018-08-01 21:00:00,14963.604682713318,11285.698072102321,19032.558900753833
2018-08-01 22:00:00,15028.725772522293,11223.919718081115,18918.65380109305
2018-08-01 23:00:00,15093.846861871494,11393.254501692294,19198.117904175135
2018-08-02 00:00:00,15158.96795019533,11315.117362863775,19038.839806066717
2018-08-02 01:00:00,15224.089039055098,11315.505446439545,18927.74009643856
2018-08-02 02:00:00,15289.210127677343,11438.981210254726,19020.180728895943
2018-08-02 03:00:00,15354.33121581051,11446.289130135307,19379.297933956477
2018-08-02 04:00:00,15419.452304171598,11607.431357990688,19325.451499112816
2018-08-02 05:00:00,15484.573391003927,11277.096621528317,19215.375040374303
2018-08-02 06:00:00,15549.69447959202,11633.783712182332,19164.456549058275
2018-08-02 07:00:00,15614.8155660951,11709.580766074869,19579.57281353822
2018-08-02 08:00:00,15679.93665115615,11880.854568395023,19536.58237164629
2018-08-02 09:00:00,15745.057736217195,11999.503612730938,19613.859825884618
2018-08-02 10:00:00,15810.178820024394,11862.486216018624,19874.671013664476
2018-08-02 11:00:00,15875.299904635549,12002.451744012347,19755.577814712105
2018-08-02 12:00:00,15940.420987364218,12257.835702731867,19680.552356160057
2018-08-02 13:00:00,16005.542071783719,11695.095064151456,19815.012409355757
2018-08-02 14:00:00,16070.663156331746,12187.611803435819,19714.203743910464
2018-08-02 15:00:00,16135.784239606359,12194.897658436887,19870.77510876493
2018-08-02 16:00:00,16200.905322018218,12272.438572768197,20282.99530452271
2018-08-02 17:00:00,16266.026404430077,12491.155284454353,20337.812761160876
2018-08-02 18:00:00,16331.147486841935,12505.22980574626,20022.113785785707
2018-08-02 19:00:00,16396.268569253796,12482.829675561303,20195.83788649819
2018-08-02 20:00:00,16461.389651665653,12785.480296687689,20270.057190230204
2018-08-02 21:00:00,16526.510734077514,12662.397488154233,20484.537975209856
2018-08-02 22:00:00,16591.63181648937,12850.984159551328,20109.22284323865
2018-08-03 22:00:00,18154.53779437399,14318.289234837663,22130.556322064484
2018-08-04 22:00:00,19717.44377225861,15713.024431404829,24148.166104298296
2018-08-05 22:00:00,21280.34975014323,17315.447340456085,25256.22113961472
2018-08-06 22:00:00,22843.25572802785,19123.495162220228,26477.34827905713
2018-08-07 22:00:00,24406.161705912466,20685.139944319682,28134.744793310692
2018-08-08 22:00:00,25969.06768379709,22129.899036363633,29694.6756244315
2018-08-09 22:00:00,27531.97366168171,23659.652780194123,31531.9008290601
2018-08-10 22:00:00,29094.87963956633,25311.397802083855,33135.28779910045
2018-08-11 22:00:00,30657.78561745095,27033.500115095314,34401.21138222142
2018-08-12 22:00:00,32220.691595335567,28510.94465138225,35991.26020667142
2018-08-13 22:00:00,33783.597573220184,29952.461421520948,37370.79093153164
2018-08-14 22:00:00,35346.503551104805,31414.77741225737,39377.265055869706
2018-08-15 22:00:00,36909.409528989425,33034.12056029412,40939.686618686785
2018-08-16 22:00:00,38472.315506874045,34730.17849505342,42399.9435752254
2018-08-17 22:00:00,40035.22148475866,36155.31526869566,43853.740388297
2018-08-18 22:00:00,41598.127462643286,37469.59976716512,45482.74556923753
2018-08-19 22:00:00,43161.033440527906,39519.15013836004,47092.373257252824
2018-08-20 22:00:00,44723.93941841253,40653.05433774054,48564.8497664068
2018-08-21 22:00:00,46286.84539629715,42226.796301741764,49689.001996581435
2018-08-22 22:00:00,47849.75137418176,44006.92651402282,51484.36770674444
2018-08-23 22:00:00,49412.65735206638,45445.74305820701,53112.92145942298
2018-08-24 22:00:00,50975.563329951,47204.814759327965,54707.3157533119
2018-08-25 22:00:00,52538.46930783562,48642.08831873173,56480.82732679566
2018-08-26 22:00:00,54101.375285720234,50260.939800329994,58025.94070884719
2018-08-27 22:00:00,55664.28126360486,51712.16526956938,59525.095497902075
2018-08-28 22:00:00,57227.187241489475,53135.68923495668,61175.05786748353
2018-08-29 22:00:00,58790.0932193741,55062.3916214093,62684.225797879575
2018-08-30 22:00:00,60352.99919725872,56689.88883962628,64297.20729792541
2018-08-31 22:00:00,61915.905175143336,58294.81923141779,65723.09180675054
2018-09-01 22:00:00,63478.81115302796,59619.285053419495,67207.23344450367
